"","list_N0_hat_t","list_N1_hat_t","liste_d_C0_t","liste_d_C1_t","liste_d_TV_t"
"1",750,173,8.08181666963065,2.05171780700083,0.0987141564965117
"2",703,178,7.10263467931876,1.41690075981958,0.116188477791309
"3",664,179,5.47639816739109,1.61276287273365,0.104755781724669
"4",641,161,5.98853470207406,2.11039414163903,0.100596181066222
"5",627,151,7.99200214759859,1.4992522103728,0.120755840633999
"6",606,134,4.91082564282837,2.78346697920944,0.128922992417743
"7",563,154,7.65276186621468,1.28147070425006,0.130236080678437
"8",547,130,4.95443831066666,2.04265249241642,0.130911665625519
"9",530,120,5.74608978933806,1.86104257948545,0.107516202775365
"10",496,132,6.17667533280661,1.3347800553564,0.114418593987281
"11",478,129,4.89482495588855,2.52297234005441,0.124821255006309
"12",469,116,5.97212765899325,2.0679531007509,0.113078604899117
"13",450,111,7.91428248587594,1.80784306517755,0.109522549931474
"14",426,110,6.37340351710421,1.80823165709273,0.103727116229863
"15",408,95,6.81895262153686,1.41390671294024,0.111991700001771
"16",384,102,6.61527623804483,1.81162245489789,0.137804842469273
"17",370,89,8.32567677411959,2.20733477487277,0.0953927164364052
"18",354,89,15.654504447933,2.20733477487277,0.117459202014798
"19",328,88,9.43806718132891,1.98100514820592,0.102049151002275
"20",316,78,9.65505139639474,2.66151048298107,0.120513405535463
"21",307,69,21.7105767134139,8.10999040020048,0.150018896873329
"22",288,71,5.84079059076044,1.51819992887388,0.111064442326011
"23",288,68,5.84079059076044,1.84733584785917,0.0885623268392707
"24",270,66,10.4904308287825,2.78656890429128,0.0885623268392707
"25",253,61,10.5088018802414,4.00138238573021,0.102673075346569
"26",236,66,9.28593859536783,3.37032793259148,0.103391992721232
"27",229,60,9.17884735014291,3.10967559321253,0.104571580802518
"28",218,63,9.40328507438607,3.60544092064766,0.116718443659768
"29",211,53,13.6549078135659,5.34811151811152,0.108925907439001
"30",199,53,15.6927841584224,5.9955326102072,0.0992806900893193
